tara,AGRFORTFISH_emp,CONSTR_emp,INDUSENRG_emp,MFG_emp,SERV_emp,AGRFORTFISH_val,CONSTR_val,INDUSENRG_val,MFG_val,SERV_val,Ranks_emp,Ranks_val
AUT,160.825,323.875,1103.475,716.1,3041.6,1.35500580061346,7.24659168547178,21.6310617181309,18.4952351081442,69.7673407957838,12.0,7.0
BEL,45.4,311.875,941.3,556.125,3867.0,0.744605233158537,5.43140252761647,16.5978210819486,13.8327320520902,77.2261711572764,11.0,12.0
CZE,132.95,413.4,1921.075,1358.2,3159.35,2.03109674936601,5.59472686300524,27.715245413606,23.1990787215965,64.6589309740227,7.0,8.0
DNK,59.0,192.725,555.525,332.425,2285.6,0.998084123979668,5.56300942681363,16.6733171250919,13.760824927757,76.7655893241149,15.0,10.0
FIN,104.7,189.1,545.825,323.3,1922.825,2.64834105823505,7.72841998990409,20.6557753200863,16.9313019136341,68.9674636317746,16.0,6.0
FRA,675.925,1777.475,5252.7,3039.1,21798.97,1.85039327454515,5.65931002376428,13.1309850539433,10.0174036842761,79.3593567583856,2.0,22.0
DEU,517.325,2445.6,11425.5,8272.0,29557.15,0.940321313018882,5.51782424605663,24.0344912349508,20.8408174513521,69.5073632059737,1.0,17.0
GRC,446.025,141.75,600.125,390.025,2881.85,4.43211317343465,1.84353322502394,15.6890582169802,9.90212969262773,78.0352953845612,13.0,18.0
HUN,203.9,375.975,1458.875,984.725,2979.075,3.9643673512106,6.11873567870161,22.5416266546763,20.033428493162,67.3752703154115,8.0,13.0
IRL,107.025,138.6,444.225,279.25,1837.975,1.08072783688155,2.17159261602733,37.9582427377326,36.7564991364989,58.7894368091094,17.0,1.0
ITA,913.475,1430.8,6008.25,4184.575,15632.22,2.15231267825091,4.98525417933877,20.1051693688048,16.623460583771,72.7572637736056,3.0,19.0
LUX,3.325,15.75,25.5,9.75,278.0,0.214950919860132,5.80152057025936,6.55109078047806,5.34551293004001,87.4324377294025,22.0,11.0
NLD,205.1,396.65,1267.9,774.25,7809.175,1.73716566740628,5.25857501796571,15.0218211192765,12.1593728526393,77.9824381953515,6.0,20.0
POL,1390.5,1332.575,5121.35,3231.725,10144.28,2.55662103337329,6.91202447795092,25.1206986590401,19.2217981340119,65.4106558296357,5.0,16.0
PRT,130.575,305.425,1181.625,811.35,3500.1,2.52939336574031,4.81268614848894,17.8889902242964,14.3500262378535,74.7689302614744,10.0,15.0
SVK,63.2,239.925,931.525,636.475,1565.825,1.95768748198952,6.02777025932449,25.6209188966997,22.1593761574911,66.3936233619863,14.0,3.0
ESP,802.65,1291.525,3991.675,2422.925,14979.28,2.8889298328113,5.57922053160489,16.9413423312186,12.7609372980494,74.5905073043652,4.0,21.0
SWE,99.525,349.275,916.125,499.925,4104.65,1.45364795796039,6.71856165142378,18.7964748174078,14.2859475530084,73.031315573208,9.0,14.0
EST,17.55,57.15,190.85,119.125,445.825,2.30496283711361,6.69597623004263,19.66160367898,14.508152249679,71.3374572538637,21.0,4.0
SVN,39.175,52.5,290.225,214.35,642.15,1.92244746232319,6.1557955048431,26.2543262174885,22.7892086454315,65.6674308175248,20.0,2.0
LVA,58.875,72.3,324.85,109.3,759.3,4.68619956220403,5.4922435447167,17.1864488061696,13.6516463422953,72.6351047015926,19.0,9.0
LTU,72.7,101.5,360.875,226.525,935.0,3.70858807792724,7.10435678775966,21.214180837652,18.0443666579939,67.9728742966611,18.0,5.0
Total_Indic,6249.725,11955.75,44859.375,29491.525,134127.2,48.15796,124.41913,446.99069,369.66926,1580.43226,253.0,253.0
