Tara,Valoare_Indicator
AUT,23.699047021628825
BEL,22.76654641041804
CZE,24.639815744319286
DEU,24.168163490270423
DNK,22.75216498555142
ESP,22.552187459609875
EST,22.901630449935787
FIN,23.386260382726828
FRA,22.003489758982887
GRC,21.980425938525542
HUN,24.006685698632403
IRL,27.351299827249953
ITA,23.324692116754214
LTU,23.60887333159878
LUX,21.06910258600801
LVA,22.730328591395647
NLD,22.43187457052786
POL,23.844359626802383
PRT,22.87000524757071
SVK,24.43187523149822
SVN,24.557841729522217
SWE,22.857189510601675
