,Tara,Sector_activitate,Valoare_Indicator
71,FRA,MFG,10.0174036842761
78,NLD,MFG,12.1593728526393
82,ESP,MFG,12.7609372980494
49,FRA,INDUSENRG,13.1309850539433
86,LVA,MFG,13.6516463422953
69,DNK,MFG,13.760824927757
67,BEL,MFG,13.8327320520902
83,SWE,MFG,14.2859475530084
80,PRT,MFG,14.3500262378535
84,EST,MFG,14.508152249679
56,NLD,INDUSENRG,15.0218211192765
51,GRC,INDUSENRG,15.6890582169802
45,BEL,INDUSENRG,16.5978210819486
76,ITA,MFG,16.623460583771
47,DNK,INDUSENRG,16.6733171250919
70,FIN,MFG,16.9313019136341
60,ESP,INDUSENRG,16.9413423312186
64,LVA,INDUSENRG,17.1864488061696
58,PRT,INDUSENRG,17.8889902242964
87,LTU,MFG,18.0443666579939
66,AUT,MFG,18.4952351081442
61,SWE,INDUSENRG,18.7964748174078
79,POL,MFG,19.2217981340119
62,EST,INDUSENRG,19.66160367898
74,HUN,MFG,20.033428493162
54,ITA,INDUSENRG,20.1051693688048
48,FIN,INDUSENRG,20.6557753200863
72,DEU,MFG,20.8408174513521
65,LTU,INDUSENRG,21.214180837652
44,AUT,INDUSENRG,21.6310617181309
81,SVK,MFG,22.1593761574911
52,HUN,INDUSENRG,22.5416266546763
85,SVN,MFG,22.7892086454315
68,CZE,MFG,23.1990787215965
50,DEU,INDUSENRG,24.0344912349508
57,POL,INDUSENRG,25.1206986590401
59,SVK,INDUSENRG,25.6209188966997
63,SVN,INDUSENRG,26.2543262174885
46,CZE,INDUSENRG,27.715245413606
75,IRL,MFG,36.7564991364989
53,IRL,INDUSENRG,37.9582427377326
97,IRL,SERV,58.7894368091094
90,CZE,SERV,64.6589309740227
101,POL,SERV,65.4106558296357
107,SVN,SERV,65.6674308175248
103,SVK,SERV,66.3936233619863
96,HUN,SERV,67.3752703154115
109,LTU,SERV,67.9728742966611
92,FIN,SERV,68.9674636317746
94,DEU,SERV,69.5073632059737
88,AUT,SERV,69.7673407957838
106,EST,SERV,71.3374572538637
108,LVA,SERV,72.6351047015926
98,ITA,SERV,72.7572637736056
105,SWE,SERV,73.031315573208
104,ESP,SERV,74.5905073043652
102,PRT,SERV,74.7689302614744
91,DNK,SERV,76.7655893241149
89,BEL,SERV,77.2261711572764
100,NLD,SERV,77.9824381953515
95,GRC,SERV,78.0352953845612
93,FRA,SERV,79.3593567583856
99,LUX,SERV,87.4324377294025
