Tara,val_added_MIN,val_added_MAX,val_added_SUM,val_added_MEAN
AUT,1.35500580061346,69.7673407957838,592.4761755407206,23.699047021628825
BEL,0.744605233158537,77.2261711572764,569.163660260451,22.76654641041804
CZE,2.03109674936601,64.6589309740227,615.9953936079822,24.63981574431929
DEU,0.940321313018882,69.5073632059737,604.2040872567605,24.168163490270423
DNK,0.998084123979668,76.7655893241149,568.8041246387854,22.752164985551417
ESP,2.8889298328113,74.5905073043652,563.8046864902469,22.552187459609875
EST,2.30496283711361,71.3374572538637,572.5407612483947,22.901630449935787
FIN,2.64834105823505,68.9674636317746,584.6565095681707,23.386260382726828
FRA,1.85039327454515,79.3593567583856,550.0872439745722,22.003489758982887
GRC,1.84353322502394,78.0352953845612,549.5106484631385,21.980425938525542
HUN,3.9643673512106,67.3752703154115,600.16714246581,24.0066856986324
IRL,1.08072783688155,58.7894368091094,683.7824956812489,27.351299827249953
ITA,2.15231267825091,72.7572637736056,583.1173029188553,23.324692116754214
LTU,3.70858807792724,67.9728742966611,590.2218332899695,23.60887333159878
LUX,0.214950919860132,87.4324377294025,526.7275646502003,21.06910258600801
LVA,4.68619956220403,72.6351047015926,568.2582147848912,22.730328591395647
NLD,1.73716566740628,77.9824381953515,560.7968642631965,22.43187457052786
POL,2.55662103337329,65.4106558296357,596.1089906700596,23.844359626802383
PRT,2.52939336574031,74.7689302614744,571.7501311892677,22.870005247570706
SVK,1.95768748198952,66.3936233619863,610.7968807874555,24.43187523149822
SVN,1.92244746232319,65.6674308175248,613.9460432380555,24.55784172952222
SWE,1.45364795796039,73.031315573208,571.4297377650419,22.857189510601675
